PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
10,0.12300000000000005,0.10799999999999998,7,1,20.0,1,1
18,0.025000000000000022,0.08100000000000002,18,3,36.0,1,1
10,-0.0020000000000000018,-0.06699999999999995,7,3,20.0,1,1
-11,-0.08300000000000002,-0.019999999999999962,6,-2,-22.0,0,0
6,0.016000000000000014,0.015000000000000013,3,7,12.0,0,1
-3,0.0050000000000000044,-0.055999999999999994,6,-5,-6.0,1,0
-13,-0.03999999999999998,0.04299999999999998,-5,2,-26.0,1,0
-7,0.062000000000000055,0.08700000000000002,1,-1,-14.0,0,0
25,0.15500000000000003,0.33799999999999997,5,4,50.0,1,1
-29,-0.18999999999999995,-0.28600000000000003,-10,-13,-58.0,1,0
8,0.038000000000000034,0.059,9,3,8.6,1,1
-17,-0.018000000000000016,0.067,-2,-6,-34.0,0,0
11,0.04799999999999999,-0.132,10,-1,22.0,1,1
22,0.09900000000000003,0.09400000000000003,3,8,44.0,1,1
6,0.05399999999999999,-0.01100000000000001,9,5,12.0,1,1
15,0.13799999999999996,0.243,2,5,30.0,0,1
-14,-0.07700000000000001,-0.19399999999999995,5,-8,-28.0,0,0
2,0.07400000000000001,-0.23900000000000002,13,-3,4.0,1,1
-34,-0.08699999999999997,-0.129,-25,-14,-68.0,0,0
-29,-0.10699999999999998,-0.07999999999999996,-13,-6,-58.0,1,0
-17,-0.025000000000000022,0.02300000000000002,-16,-4,-34.0,1,0
-2,-0.020000000000000018,-0.019999999999999962,7,4,-4.0,1,0
-9,-0.014000000000000012,-0.09099999999999997,-13,2,-18.0,0,0
-11,-0.16100000000000003,-0.293,3,-14,-22.0,0,0
17,0.019000000000000017,0.07500000000000001,9,0,34.0,1,1
14,0.046999999999999986,-0.135,3,-2,28.0,0,1
-3,-0.030000000000000027,-0.09499999999999997,8,2,-6.0,1,0
-12,-0.0030000000000000027,-0.139,-9,-8,-24.0,0,0
10,0.064,0.125,-7,-6,20.0,0,1
7,-0.008000000000000007,0.21400000000000002,0,-3,14.0,0,1
-16,-0.05299999999999999,-0.027000000000000024,-12,-4,-32.0,0,0
-9,-0.031000000000000028,-0.05199999999999999,-14,-5,-18.0,0,0
7,-0.015000000000000013,-0.0050000000000000044,8,3,14.0,0,1
14,0.015000000000000013,-0.129,16,-5,28.0,1,1
-8,-0.03999999999999998,0.039000000000000035,1,-5,-16.0,1,0
30,0.11200000000000004,-0.010000000000000009,-4,15,60.0,1,1
13,0.08900000000000002,0.22800000000000004,7,3,26.0,0,1
14,-0.03200000000000003,0.16899999999999998,-9,7,28.0,0,1
-19,-0.05600000000000005,0.055999999999999994,5,-14,-38.0,0,0
5,0.014000000000000012,0.21500000000000002,0,4,10.0,0,1
20,0.15999999999999998,0.069,-3,4,40.0,1,1
7,0.024999999999999967,0.017000000000000015,7,8,14.0,1,1
